"","X","gender","educ","ideo5","hardtorelate","angry","age","republican","democrat"
"309",309,0,4,3,1,3,35,0,0
"310",310,0,5,1,1,5,45,0,0
"311",311,1,2,3,1,1,58,0,1
"312",312,1,3,3,0,4,61,0,0
"313",313,1,5,3,1,4,69,0,0
"314",314,1,6,3,1,5,31,0,1
"315",315,1,4,2,0,5,66,0,1
"316",316,0,6,3,0,5,59,0,1
"317",317,0,3,3,1,5,55,0,0
"318",318,1,2,3,0,5,46,1,0
"319",319,0,6,4,1,3,46,1,0
"320",320,1,5,3,1,3,32,0,0
"321",321,1,6,3,0,4,63,0,0
"322",322,1,3,2,1,5,33,0,1
"323",323,0,2,3,1,5,57,0,0
"324",324,1,3,4,0,4,58,0,0
"325",325,1,4,3,1,4,68,0,1
"326",326,1,4,3,1,1,28,0,1
"327",327,1,2,1,0,1,43,0,0
"328",328,1,2,3,0,4,23,0,0
"329",329,0,2,2,1,4,75,0,0
"330",330,1,5,3,1,1,35,0,0
"331",331,1,3,1,1,5,21,0,1
"332",332,1,5,1,1,5,47,0,1
"333",333,1,3,NA,1,4,45,0,0
"334",334,1,3,4,0,3,62,1,0
"335",335,1,6,3,0,4,48,0,0
"336",336,0,2,2,1,1,62,0,1
"337",337,0,6,4,0,5,43,1,0
"338",338,1,6,4,0,5,54,1,0
"339",339,0,3,2,1,5,53,0,1
"340",340,1,3,3,0,5,72,0,0
"341",341,0,2,2,0,3,65,0,0
"342",342,1,2,5,1,4,83,1,0
"343",343,1,1,NA,1,5,34,0,0
"344",344,1,3,3,1,4,63,0,1
"345",345,1,5,1,0,5,29,0,1
"346",346,1,4,3,1,4,58,0,0
"347",347,0,6,1,0,5,37,0,1
"348",348,1,2,3,0,4,29,0,1
"349",349,1,6,3,0,5,30,0,0
"350",350,0,3,5,1,3,65,1,0
"351",351,1,5,3,0,3,22,1,0
"352",352,0,1,5,0,5,18,1,0
"353",353,1,5,3,1,5,52,0,1
"354",354,1,2,1,1,5,72,0,1
"355",355,1,5,4,1,5,26,1,0
"356",356,1,3,1,1,3,49,0,1
"357",357,0,3,2,1,5,57,0,0
"358",358,1,4,NA,0,1,26,0,0
"359",359,0,3,4,0,4,57,0,0
"360",360,1,4,2,0,3,36,0,1
"361",361,1,4,4,0,3,56,1,0
"362",362,1,2,4,1,4,87,1,0
"363",363,0,2,4,0,3,47,0,1
"364",364,1,6,1,1,5,79,0,1
"365",365,1,6,5,1,4,70,0,0
"366",366,1,2,3,0,3,24,0,1
"367",367,0,2,3,1,5,39,0,0
"368",368,0,3,5,0,3,21,0,0
"369",369,1,2,2,1,5,68,0,0
"370",370,1,5,2,1,5,54,0,1
"371",371,1,2,2,0,4,45,0,1
"372",372,1,1,4,1,5,57,1,0
"373",373,1,2,5,1,4,69,1,0
"374",374,1,2,NA,0,3,56,0,0
"375",375,0,6,5,1,4,57,0,0
"376",376,1,1,5,1,3,31,1,0
"377",377,0,2,4,1,5,67,0,0
"378",378,0,4,1,0,2,58,0,1
"379",379,1,2,4,1,4,48,1,0
"380",380,0,3,2,1,5,62,0,1
"381",381,1,5,2,0,5,33,0,1
"382",382,0,2,4,0,3,55,0,0
"383",383,0,2,4,1,5,59,1,0
"384",384,1,2,2,0,4,63,0,1
"385",385,0,2,3,0,4,80,0,0
"386",386,0,2,2,0,4,56,0,0
"387",387,0,2,1,0,5,26,0,1
"388",388,1,5,1,1,4,48,0,1
"389",389,1,2,NA,1,4,28,0,1
"390",390,1,3,3,0,5,24,0,0
"391",391,0,5,4,0,3,48,1,0
"392",392,0,2,5,1,4,67,0,0
"393",393,1,5,2,0,4,43,0,1
"394",394,1,2,NA,0,4,34,0,0
"395",395,0,2,5,1,5,34,0,0
"396",396,1,4,1,1,5,66,0,1
"397",397,1,5,3,1,3,57,0,0
"398",398,0,2,2,1,5,61,0,1
"399",399,0,2,1,1,5,49,0,1
"400",400,0,2,3,1,5,52,0,0
"401",401,1,2,NA,0,5,71,0,1
"402",402,0,2,4,0,4,52,0,1
"403",403,0,3,NA,1,5,29,0,0
"404",404,1,1,NA,0,4,35,0,0
"405",405,0,2,3,0,4,69,0,1
"406",406,0,4,4,0,5,26,0,0
"407",407,1,2,2,1,5,39,0,1
"408",408,0,3,3,0,5,45,0,0
"409",409,0,2,5,1,4,49,1,0
"410",410,0,3,4,0,3,38,0,0
"411",411,1,5,5,1,5,42,1,0
"412",412,1,5,NA,1,3,30,1,0
"413",413,1,5,3,1,5,31,0,1
"414",414,1,5,3,1,5,37,0,1
"415",415,1,6,1,0,5,39,0,1
"416",416,1,2,NA,0,5,26,0,0
"417",417,1,4,3,0,5,49,0,1
