"","id","country","commie","me_nafr","ssafrica","asia","latin","female_vote","female_voteMOD","female_min","female_seats","female_seats95","gender_rights","laborfemaleMOD","closed_list","PR","polity","gdpcap2000","oil","zislam","female_seats_15"
"41","CZE","Czech Republic",1,0,0,0,0,1920,1920,0.1,17,15,NA,45.106315612793,0,1,10,5253.02197265625,55.6493949890137,-0.723089337348938,1
"42","DEU","Germany",0,0,0,0,0,1918,1918,0.5,32.8,26.2000007629395,NA,41.1030464172363,1,1,10,21768.86328125,67.3622817993164,-0.614747285842896,1
"43","DJI","Djibouti",0,1,1,0,0,1946,1946,0.1,10.8,0,NA,NA,1,0,-2.63636374473572,897.003967285156,0,1.94519758224487,0
"44","DNK","Denmark",0,0,0,0,0,1915,1915,0.3,36.9,33,NA,45.6940269470215,0,1,10,28095.61328125,75.2839584350586,-0.688595175743103,1
"45","DOM","Dominican Republic",0,0,0,0,1,1942,1942,0.1,17.3,11.6999998092651,NA,29.3494644165039,1,1,7.27272748947144,2090.25732421875,0,-0.722807288169861,1
"46","DZA","Algeria",0,1,0,0,0,1962,1962,0.1,6.2,6.59999990463257,2.8199999332428,26.4345092773438,1,1,-3.72727274894714,1722.00305175781,742.672302246094,2.00769925117493,0
"47","ECU","Ecuador",0,0,0,0,1,1929,1929,0.1,16,NA,NA,26.7025032043457,1,1,7.81818199157715,1332.70703125,396.554870605469,-0.723089337348938,1
"48","EGY","Egypt",0,1,0,0,0,1956,1956,0.1,2.9,2,2.74000000953674,17.7777366638184,NA,0,-6,1449.87585449219,188.157440185547,1.64709413051605,0
"49","ERI","Eritrea",0,0,1,0,0,1955,1955,0.2,22,21,NA,47.4392852783203,NA,NA,-6.27272748947144,169.98957824707,0,0.661363542079926,1
"50","ESP","Spain",0,0,0,0,0,1931,1931,0.5,36,24.6000003814697,NA,34.6026458740234,1,1,10,12987.5458984375,28.4236640930176,-0.710289597511292,1
"51","EST","Estonia",1,0,0,0,0,1918,1918,0.2,18.8,12.8999996185303,NA,45.9616775512695,0,1,6,3625.10473632812,0,-0.714259684085846,1
